Date,Date Int,Day Name Short,Day Num Week,Day of Year,Month Day Num,Month Name Short,Month Num,Month Year,Month Year Order,Quarter Num,Quarter Year,Quarter Year Order,Week Ending,Week Num,Week Year,Week Year Order,Year
2021-02-07 00:00:00,20210207,Sun,1,38,7,Feb,2,Feb 2021,202102,1,Q1 2021,20211,2021-02-13 00:00:00,7,W7 2021,202107,2021
2021-02-08 00:00:00,20210208,Mon,2,39,8,Feb,2,Feb 2021,202102,1,Q1 2021,20211,2021-02-13 00:00:00,7,W7 2021,202107,2021
2021-02-09 00:00:00,20210209,Tue,3,40,9,Feb,2,Feb 2021,202102,1,Q1 2021,20211,2021-02-13 00:00:00,7,W7 2021,202107,2021
2021-02-10 00:00:00,20210210,Wed,4,41,10,Feb,2,Feb 2021,202102,1,Q1 2021,20211,2021-02-13 00:00:00,7,W7 2021,202107,2021
2021-02-11 00:00:00,20210211,Thu,5,42,11,Feb,2,Feb 2021,202102,1,Q1 2021,20211,2021-02-13 00:00:00,7,W7 2021,202107,2021
2021-02-12 00:00:00,20210212,Fri,6,43,12,Feb,2,Feb 2021,202102,1,Q1 2021,20211,2021-02-13 00:00:00,7,W7 2021,202107,2021
2021-02-13 00:00:00,20210213,Sat,7,44,13,Feb,2,Feb 2021,202102,1,Q1 2021,20211,2021-02-13 00:00:00,7,W7 2021,202107,2021
2021-02-14 00:00:00,20210214,Sun,1,45,14,Feb,2,Feb 2021,202102,1,Q1 2021,20211,2021-02-20 00:00:00,8,W8 2021,202108,2021
2021-02-15 00:00:00,20210215,Mon,2,46,15,Feb,2,Feb 2021,202102,1,Q1 2021,20211,2021-02-20 00:00:00,8,W8 2021,202108,2021
2021-02-16 00:00:00,20210216,Tue,3,47,16,Feb,2,Feb 2021,202102,1,Q1 2021,20211,2021-02-20 00:00:00,8,W8 2021,202108,2021
2021-02-17 00:00:00,20210217,Wed,4,48,17,Feb,2,Feb 2021,202102,1,Q1 2021,20211,2021-02-20 00:00:00,8,W8 2021,202108,2021
2021-02-18 00:00:00,20210218,Thu,5,49,18,Feb,2,Feb 2021,202102,1,Q1 2021,20211,2021-02-20 00:00:00,8,W8 2021,202108,2021
2021-02-19 00:00:00,20210219,Fri,6,50,19,Feb,2,Feb 2021,202102,1,Q1 2021,20211,2021-02-20 00:00:00,8,W8 2021,202108,2021
2021-02-20 00:00:00,20210220,Sat,7,51,20,Feb,2,Feb 2021,202102,1,Q1 2021,20211,2021-02-20 00:00:00,8,W8 2021,202108,2021
2021-02-21 00:00:00,20210221,Sun,1,52,21,Feb,2,Feb 2021,202102,1,Q1 2021,20211,2021-02-27 00:00:00,9,W9 2021,202109,2021
